Road ID,Length (km),Number of Bends,Traffic Volume,Accident Risk
SH12,50,25,18000,High
NH48,250,26,5000,High
NH27,140,30,6000,High
NH31,75,33,22000,Very High
NH48,80,8,22000,Very High
NH37,60,55,28000,Extreme
NH31,290,33,3200,Very High
SH2,300,15,12000,Moderate
SH38,600,33,27000,Extreme
NH31,260,10,20000,High
NH61,120,12,9000,Moderate
SH50,250,25,13000,High
NH27,600,31,30000,Extreme
SH17,80,38,16000,Very High
NH16,350,50,28000,Extreme
NH75,275,22,40000,Extreme
NH58,300,28,16000,High
SH10,210,18,35000,Extreme
NH75,260,12,20000,High
SH10,320,19,5000,Moderate
NH31,500,26,23000,Very High
SH38,75,17,2000,Moderate
NH1,190,17,15000,Moderate
SH1,75,38,9000,Very High
NH9,350,14,17000,High
SH25,130,38,40000,Extreme
NH10,170,6,19000,High
NH66,400,7,10000,Low
NH16,300,33,4500,Very High
NH7,300,31,28000,Extreme
NH20,190,23,10000,High
NH58,320,6,9000,Low
NH4,140,40,3000,Very High
NH1,600,50,15000,Extreme
NH20,170,29,8000,High
SH2,500,55,10000,Extreme
NH58,400,9,11000,Moderate
NH66,360,29,3000,High
SH15,90,31,22000,Very High
SH15,90,16,25000,Very High
NH48,400,12,11000,Moderate
SH38,270,26,6000,High
SH38,75,18,2000,Moderate
NH2,130,10,14000,Moderate
NH10,450,25,27000,Extreme
NH31,400,10,23000,Very High
SH17,150,35,9000,Very High
NH4,140,28,3000,High
NH9,150,30,15000,High
NH4,180,18,5000,Moderate
